dcs_rnd2_433|Ăsta e fotbalul, mergem înainte|Ăsta e fotbalul, mergem înainte
dcs_rnd2_434|De asemenea ei solicită demiterea ministrului justiției|De asemenea ei solicită demiterea ministrului justiției
dcs_rnd2_435|Lesch a spus că regretă foarte mult anii petrecuți în penitenciar|Lesch a spus că regretă foarte mult anii petrecuți în penitenciar
dcs_rnd2_436|După optsprezece luni a reușit să scape de cincizeci de kilograme|După optsprezece luni a reușit să scape de cincizeci de kilograme
dcs_rnd2_437|Îl cumpăr din depozit la pensie aș fi vrut să mă plimb|Îl cumpăr din depozit la pensie aș fi vrut să mă plimb
dcs_rnd2_438|La spital au venit cu sufletul la gură și câteva mămici|La spital au venit cu sufletul la gură și câteva mămici
dcs_rnd2_439|Este cel mai plăcut mod de ați petrece timpul liber|Este cel mai plăcut mod de ați petrece timpul liber
dcs_rnd2_440|La cele două clase predă simultan învățătoarea Valeria Vasile|La cele două clase predă simultan învățătoarea Valeria Vasile
dcs_rnd2_441|Nu mai prinzi apă caldă|Nu mai prinzi apă caldă
dcs_rnd2_442|Noi obținem rezultate împotriva cursului, nu sunt concordante cu condițiile de lucru|Noi obținem rezultate împotriva cursului, nu sunt concordante cu condițiile de lucru
dcs_rnd2_443|Arătau foarte bine mașinile în special cele cu motoare foarte puternice|Arătau foarte bine mașinile în special cele cu motoare foarte puternice
dcs_rnd2_444|Atmosfera de la școală e groaznică|Atmosfera de la școală e groaznică
dcs_rnd2_445|N-am mai zburat niciodată, dar cred că o să încerc acum|N-am mai zburat niciodată, dar cred că o să încerc acum
dcs_rnd2_446|Întrebarea nu are deocamdată răspuns|Întrebarea nu are deocamdată răspuns
dcs_rnd2_447|Dintre acestea, aproximativ cincizeci sunt pentru agenți de vânzări stradali|Dintre acestea, aproximativ cincizeci sunt pentru agenți de vânzări stradali
dcs_rnd2_448|Dacă scandalul se oprește aici, nu vor exista efecte nefaste|Dacă scandalul se oprește aici, nu vor exista efecte nefaste
dcs_rnd2_449|Firma are datorii la stat de unu virgulă unu milioane de lei|Firma are datorii la stat de unu virgulă unu milioane de lei
dcs_rnd2_450|Directorii nu organizaseră niciun concurs|Directorii nu organizaseră niciun concurs
dcs_rnd2_451|Dintr-o dată, mingea a căzut în curtea unui localnic|Dintr-o dată, mingea a căzut în curtea unui localnic
dcs_rnd2_452|Intrarea la concertul de diseară va costa cinsprezece lei|Intrarea la concertul de diseară va costa cinsprezece lei
dcs_rnd2_453|Sunt mulți copii și trebuie să ne ocupăm de fiecare în parte|Sunt mulți copii și trebuie să ne ocupăm de fiecare în parte
dcs_rnd2_454|Era slăbit și avea simptome de gripă|Era slăbit și avea simptome de gripă
dcs_rnd2_455|Sper să joc și la București la fel de bine|Sper să joc și la București la fel de bine
dcs_rnd2_456|Nimeni nu poate aprecia numărul delfinilor care mai trăiesc în Marea Neagră|Nimeni nu poate aprecia numărul delfinilor care mai trăiesc în Marea Neagră
dcs_rnd2_457|Pur și simplu mi-am spus părerea despre meciul Inter- Barcelona, nu despre Inter- Arsenal|Pur și simplu mi-am spus părerea despre meciul Inter- Barcelona, nu despre Inter- Arsenal
dcs_rnd2_458|Mâine am să văd, dar am auzit de chestia asta|Mâine am să văd, dar am auzit de chestia asta
dcs_rnd2_459|Probabil că parțial avea dreptate|Probabil că parțial avea dreptate
dcs_rnd2_460|Sportiv poate, pentru că și fratele meu a făcut box|Sportiv poate, pentru că și fratele meu a făcut box
dcs_rnd2_461|Este vorba de o răzbunare politică pusă la cale împotriva mea|Este vorba de o răzbunare politică pusă la cale împotriva mea
dcs_rnd2_462|Aceștia vor controla condițiile în care sunt depozitate și preparate alimentele|Aceștia vor controla condițiile în care sunt depozitate și preparate alimentele
dcs_rnd2_463|Atunci am primit cadou cinci ținute vestimentare, spune tânăra|Atunci am primit cadou cinci ținute vestimentare, spune tânăra
dcs_rnd2_464|Apoi mi-a fost și mai rău|Apoi mi-a fost și mai rău
dcs_rnd2_465|Ador călătoriile, să scriu poezii și să merg în parc|Ador călătoriile, să scriu poezii și să merg în parc
dcs_rnd2_466|Tânărul șofer a fost aruncat în fața autoturismului|Tânărul șofer a fost aruncat în fața autoturismului
dcs_rnd2_467|Trebuie să predea puterea de bună voie|Trebuie să predea puterea de bună voie
dcs_rnd2_468|Angajații Opel vor deține zece procente din capitalul companiei|Angajații Opel vor deține zece procente din capitalul companiei
dcs_rnd2_469|Alte cincizeci de posturi dedicate muncitorilor sunt disponibile în Hunedoara|Alte cincizeci de posturi dedicate muncitorilor sunt disponibile în Hunedoara
dcs_rnd2_470|A venit acasă anul trecut, în august|A venit acasă anul trecut, în august
dcs_rnd2_471|De unde v-ați adunat obiectele pentru colecție|De unde v-ați adunat obiectele pentru colecție
dcs_rnd2_472|Avem câteva rase care vin din Ungaria, menționează Liviu Pop|Avem câteva rase care vin din Ungaria, menționează Liviu Pop
dcs_rnd2_473|Mi-am ales o armă foarte grea, o armă tehnică|Mi-am ales o armă foarte grea, o armă tehnică
dcs_rnd2_474|Vor fi în jur de o sută șaizeci de titluri|Vor fi în jur de o sută șaizeci de titluri
dcs_rnd2_475|Pe el nu-l răpunea până pe la șapte, mai spune Ema|Pe el nu-l răpunea până pe la șapte, mai spune Ema
dcs_rnd2_476|La rândul lor, edilii s-au scuzat că nu sunt bani|La rândul lor, edilii s-au scuzat că nu sunt bani
dcs_rnd2_477|Iar peste toate, sunt și păcăliți de logodnicele lor|Iar peste toate, sunt și păcăliți de logodnicele lor
dcs_rnd2_478|Inima artistului s-a oprit din cauza unei suferințe pulmonare severe|Inima artistului s-a oprit din cauza unei suferințe pulmonare severe
dcs_rnd2_479|El a intervenit și atunci când, după demisia mea, s-a forțat creșterea|El a intervenit și atunci când, după demisia mea, s-a forțat creșterea
dcs_rnd2_480|A precizat antrenorul Sorin Cârțu|A precizat antrenorul Sorin Cârțu
dcs_rnd2_481|Persoana respectivă a fost surprinsă într-un moment de neatenție|Persoana respectivă a fost surprinsă într-un moment de neatenție
dcs_rnd2_482|Nu poate spune că nu a simțit cum criza îi afectează afacerile|Nu poate spune că nu a simțit cum criza îi afectează afacerile
dcs_rnd2_483|Indiferent de categoria de vârstă, meciurile au fost aprig disputate|Indiferent de categoria de vârstă, meciurile au fost aprig disputate
dcs_rnd2_484|Autoritățile lasă criminalii liberi pe stradă cu bună știință|Autoritățile lasă criminalii liberi pe stradă cu bună știință
dcs_rnd2_485|În Polonia, cota este de șapte zero procent|În Polonia, cota este de șapte zero procent
dcs_rnd2_486|Am tras de mine în ultima perioadă, însă trebuie să mă las|Am tras de mine în ultima perioadă, însă trebuie să mă las
dcs_rnd2_487|Sunt foarte bune fetele|Sunt foarte bune fetele
dcs_rnd2_488|În octombrie, angajații acestei secții ar urma să-și piardă locul de muncă|În octombrie, angajații acestei secții ar urma să-și piardă locul de muncă
dcs_rnd2_489|În această perioadă au început însă să crească solicitările|În această perioadă au început însă să crească solicitările
dcs_rnd2_490|Polițiștii fac cercetări în ambele cazuri în vederea identificării și prinderii autorilor|Polițiștii fac cercetări în ambele cazuri în vederea identificării și prinderii autorilor
dcs_rnd2_491|A urmat o perioadă de spirit cazon|A urmat o perioadă de spirit cazon
dcs_rnd2_492|Suntem una dintre cele mai vechi familii din Eforie|Suntem una dintre cele mai vechi familii din Eforie
dcs_rnd2_493|Așa că autoritățile au dat puțin câte puțin și sportivilor|Așa că autoritățile au dat puțin câte puțin și sportivilor
dcs_rnd2_494|Începe să consume droguri, alcool și recurge la tentative de suicid|Începe să consume droguri, alcool și recurge la tentative de suicid
dcs_rnd2_495|Pentru mine, întoarcerea la școală era un calvar|Pentru mine, întoarcerea la școală era un calvar
dcs_rnd2_496|Fiecare clasă are dulăpioare pentru elevi, calculatoare și televizoare|Fiecare clasă are dulăpioare pentru elevi, calculatoare și televizoare
dcs_rnd3_001|Am crezut că femeia din fața mea a murit|Am crezut că femeia din fața mea a murit
dcs_rnd3_002|El crede că dublarea nu este neapărat un dezavantaj pentru italieni|El crede că dublarea nu este neapărat un dezavantaj pentru italieni
dcs_rnd3_003|Pe ce personaje mizați în noul sezon, toate personajele sunt o miză|Pe ce personaje mizați în noul sezon, toate personajele sunt o miză
dcs_rnd3_004|Cu toții ne aducem aminte de aceste momente|Cu toții ne aducem aminte de aceste momente
dcs_rnd3_005|Reprezentantul sindicatului medicilor specialiști din Botoșani a reacționat dur|Reprezentantul sindicatului medicilor specialiști din Botoșani a reacționat dur
dcs_rnd3_006|Astfel se răspândește ghinionul|Astfel se răspândește ghinionul
dcs_rnd3_007|Ne plătim datoriile adunate în vară|Ne plătim datoriile adunate în vară
dcs_rnd3_008|Aceasta este o idee bună|Aceasta este o idee bună
dcs_rnd3_009|La fața locului s-au deplasat mai multe echipaje de prim ajutor|La fața locului s-au deplasat mai multe echipaje de prim ajutor
dcs_rnd3_010|Talk show-ul s-a transformat dintr-o dezbatere în spectacol|Talk show-ul s-a transformat dintr-o dezbatere în spectacol
dcs_rnd3_011|Totuși, Anderlecht reprezintă una dintre principalele pretendente la calificare în Europa League|Totuși, Anderlecht reprezintă una dintre principalele pretendente la calificare în Europa League
dcs_rnd3_012|Covrigii fierți sunt la mare căutare în rândurile acestora|Covrigii fierți sunt la mare căutare în rândurile acestora
dcs_rnd3_013|Potrivit organizatorilor, bugetul festivalului se ridică la două sute mii de euro|Potrivit organizatorilor, bugetul festivalului se ridică la două sute mii de euro
dcs_rnd3_014|Numărătoarea inversă a început|Numărătoarea inversă a început
dcs_rnd3_015|Dacă fura, vă dați seama că nu îmi mai cerea mie bani|Dacă fura, vă dați seama că nu îmi mai cerea mie bani
dcs_rnd3_016|Nu se face așa ceva, a spus Istudor|Nu se face așa ceva, a spus Istudor
dcs_rnd3_017|Spune tânăra cântăreață|Spune tânăra cântăreață
dcs_rnd3_018|Oamenii se simțeau legați de acel loc|Oamenii se simțeau legați de acel loc
dcs_rnd3_019|Ba din contră, m-au susținut, mai spune adolescenta|Ba din contră, m-au susținut, mai spune adolescenta
dcs_rnd3_020|Îmi place foarte mult să merg la raliuri|Îmi place foarte mult să merg la raliuri
dcs_rnd3_021|Ofițerii din cadrul i je pe fe|Ofițerii din cadrul i je pe fe
dcs_rnd3_022|Acesta putea afecta circuitele electronice ale micilor ambarcațiuni|Acesta putea afecta circuitele electronice ale micilor ambarcațiuni
dcs_rnd3_023|Inițial, lucrările au început în vara anului trecut|Inițial, lucrările au început în vara anului trecut
dcs_rnd3_024|Atunci nu aveam timp de vizite, jucam și dormeam|Atunci nu aveam timp de vizite, jucam și dormeam
dcs_rnd3_025|Avem tot ce ne trebuie și nici nu ne costă mult|Avem tot ce ne trebuie și nici nu ne costă mult
dcs_rnd3_026|Dacă era nouă zero, nu era nicio problemă, nu comenta nimeni|Dacă era nouă zero, nu era nicio problemă, nu comenta nimeni
dcs_rnd3_027|Nu vă mai complicați viața cu plevușcă|Nu vă mai complicați viața cu plevușcă
dcs_rnd3_028|Arunc boabele crăpate și nu le păstrez decât pe cele sănătoase|Arunc boabele crăpate și nu le păstrez decât pe cele sănătoase
dcs_rnd3_029|Steaua este o echipă de calitate, cu mare tradiție în cupele europene|Steaua este o echipă de calitate, cu mare tradiție în cupele europene
dcs_rnd3_030|Îmi plac și micile șmecherii afirmă arădeanca|Îmi plac și micile șmecherii afirmă arădeanca
dcs_rnd3_031|El reprezintă districtul treisprezece, care include cartierul Queens|El reprezintă districtul treisprezece, care include cartierul Queens
dcs_rnd3_032|Într-un cuvânt, Rusia dintotdeauna|Într-un cuvânt, Rusia dintotdeauna
dcs_rnd3_033|Finalul a fost dramatic pentru scandinav|Finalul a fost dramatic pentru scandinav
dcs_rnd3_034|La rândul său, a oferit publicului treizeci de mingi cu autograful lui|La rândul său, a oferit publicului treizeci de mingi cu autograful lui
dcs_rnd3_035|Tânăra are permisul de conducere de doar un an și jumătate|Tânăra are permisul de conducere de doar un an și jumătate
dcs_rnd3_036|Imediat au anunțat poliția de la secția trei|Imediat au anunțat poliția de la secția trei
dcs_rnd3_037|Ocupantele locurilor doi minus patru vor merge în cupa e hași ef|Ocupantele locurilor doi minus patru vor merge în cupa e hași ef
dcs_rnd3_038|Poliția comunală mătăsari a fost sesizată aseară de către ef punct ve|Poliția comunală mătăsari a fost sesizată aseară de către ef punct ve
dcs_rnd3_039|În schimb, firmele lui Penescu primeau doar contravenții|În schimb, firmele lui Penescu primeau doar contravenții
dcs_rnd3_040|La fel, avizul de gospodărire a apelor este valabil doar cinsprezece zile|La fel, avizul de gospodărire a apelor este valabil doar cinsprezece zile
dcs_rnd3_041|La fel și cele ale copiilor, ingenue și pline de afecțiune|La fel și cele ale copiilor, ingenue și pline de afecțiune
dcs_rnd3_042|Prețul scade cu încă un pas, la o sută patru mii euro|Prețul scade cu încă un pas, la o sută patru mii euro
dcs_rnd3_043|Închiderea acestui buget, la cifrele convenite, va fi oricum o mare performanță|Închiderea acestui buget, la cifrele convenite, va fi oricum o mare performanță
dcs_rnd3_044|Nu îmi place singurătatea și de aceea iubesc metropolele spune scenarista|Nu îmi place singurătatea și de aceea iubesc metropolele spune scenarista
dcs_rnd3_045|Szekely, douăzeci și cinci|Szekely, douăzeci și cinci
dcs_rnd3_046|Mi-a zis cineva de la ce fe re că Bergodi e cam tralala|Mi-a zis cineva de la ce fe re că Bergodi e cam tralala
dcs_rnd3_047|Statul nu trebuie să mai fie o povară pentru cetățeni|Statul nu trebuie să mai fie o povară pentru cetățeni
dcs_rnd3_048|Pentru evoluțiile lui Onicaș și Ionescu, singura explicație poate fi oboseala|Pentru evoluțiile lui Onicaș și Ionescu, singura explicație poate fi oboseala
dcs_rnd3_049|El nu a explicat de ce karzai a renunțat la deplasare|El nu a explicat de ce karzai a renunțat la deplasare
dcs_rnd3_050|Este vorba despre a ge de|Este vorba despre a ge de
dcs_rnd3_051|Elicopterul nu fusese anunțat|Elicopterul nu fusese anunțat
dcs_rnd3_052|Scandalul a început de la unele neînțelegeri legate de niște datorii neachitate|Scandalul a început de la unele neînțelegeri legate de niște datorii neachitate
dcs_rnd3_053|Ești într-o stare de vis și realitate|Ești într-o stare de vis și realitate
dcs_rnd3_054|Nu va fi primit, va fi returnat și judecat la Berlin|Nu va fi primit, va fi returnat și judecat la Berlin
dcs_rnd3_055|Două copile l-au așteptat chiar cu două ghivece cu flori|Două copile l-au așteptat chiar cu două ghivece cu flori
